ID	A1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	A1_2	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	A1_3	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1
ed8c114f89c3258bc1b1e13004e9490f	13.0	50.0	78.0	22.0	20.0	20.0	26.0	38.0	16.0	18.0	21.0	31.0	78.0	20.0	15.0	39.0	77.0	53.0	19.0	21.0	46.0	26.0	0.0	17.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	40.0	29.0	30.0	8.0	18.0
bafd90dd778e791dff99d4036aa2c41d	17.0	27.0	40.0	26.0	21.0	12.0	12.0	24.0	24.0	27.0	24.0	25.0	27.0	20.0	25.0	20.0	45.0	46.0	34.0	31.0	45.0	29.0	22.0	18.0	11.0	35.0	0.0	0.0	0.0	0.0	42.0	52.0	38.0	23.0	23.0	38.0
725dc0ec49f8bbcd8eb18c81eff30fdf	0.0	17.0	0.0	33.0	19.0	102.0	62.0	0.0	0.0	0.0	47.0	32.0	0.0	77.0	68.0	19.0	38.0	0.0	74.0	23.0	48.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	33.0	25.0	26.0	0.0	61.0
53aee027c31a6967e470aa5aebd19ad5	0.0	32.0	61.0	23.0	29.0	33.0	19.0	21.0	14.0	28.0	11.0	38.0	42.0	23.0	28.0	31.0	49.0	51.0	49.0	28.0	31.0	24.0	0.0	22.0	67.0	30.0	0.0	0.0	0.0	0.0	0.0	24.0	22.0	30.0	15.0	20.0
40c9af54e31e5f67fd8ad3ef86360620	0.0	104.0	0.0	0.0	103.0	78.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	114.0	0.0	93.0	61.0	0.0
186e40a7066f097aa2413daa41bd1220	28.0	26.0	0.0	37.0	18.0	0.0	73.0	0.0	0.0	19.0	31.0	14.0	32.0	35.0	44.0	21.0	28.0	28.0	21.0	26.0	25.0	67.0	98.0	0.0	30.0	69.0	0.0	0.0	0.0	0.0	12.0	24.0	33.0	17.0	33.0	0.0
6d4a195b5dac35994eea47a5f4468ea6	27.0	24.0	0.0	45.0	10.0	0.0	0.0	0.0	0.0	14.0	16.0	23.0	55.0	22.0	0.0	19.0	40.0	32.0	20.0	23.0	19.0	92.0	105.0	0.0	25.0	27.0	0.0	0.0	0.0	0.0	22.0	37.0	29.0	15.0	22.0	126.0
172de5bdb71c63635bfc865eb5c1e139	33.0	21.0	24.0	38.0	25.0	30.0	11.0	42.0	19.0	0.0	43.0	13.0	26.0	38.0	28.0	23.0	29.0	25.0	64.0	42.0	36.0	39.0	13.0	0.0	23.0	27.0	0.0	0.0	0.0	0.0	28.0	32.0	35.0	33.0	9.0	39.0
5ec19322cd7a56850d4bcf8d6c9c763a	13.0	39.0	41.0	25.0	17.0	34.0	7.0	29.0	31.0	25.0	32.0	20.0	17.0	17.0	38.0	27.0	50.0	51.0	36.0	23.0	42.0	30.0	24.0	9.0	11.0	37.0	0.0	0.0	0.0	0.0	0.0	62.0	30.0	34.0	14.0	22.0
c6000b12b32ba86a143ebf9b9d07fca2	20.0	32.0	28.0	17.0	24.0	37.0	25.0	0.0	23.0	22.0	39.0	28.0	17.0	26.0	20.0	35.0	36.0	37.0	41.0	46.0	39.0	33.0	32.0	22.0	15.0	26.0	0.0	0.0	0.0	0.0	25.0	24.0	30.0	33.0	27.0	25.0
