	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV128	15	27	30	18	23	15	17	63	28	14	28	0	39	0	0	15	26	13	16	18	0	0	14	27	0	0	74	64	28	0	0	15	0	0	0	0
ASV129	0	0	0	0	0	111	0	80	56	119	0	92	33	66	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV130	0	38	0	0	0	30	0	33	0	0	0	86	22	58	58	0	0	0	0	0	31	0	22	29	38	49	38	0	55	32	0	0	0	0	0	0
ASV131	0	12	0	0	68	35	80	0	0	0	0	0	26	0	17	0	0	0	43	0	16	64	18	30	24	51	59	49	0	16	0	0	0	0	0	0
ASV132	0	19	56	0	0	32	53	27	0	38	0	16	31	0	0	0	0	23	75	0	0	58	69	21	0	16	25	48	0	0	0	0	0	0	0	0
ASV133	0	0	0	0	0	0	0	0	0	0	356	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
ASV134	98	15	0	12	19	16	27	29	0	27	85	0	21	0	0	27	0	0	0	63	0	0	14	0	58	0	0	0	49	0	0	0	0	0	44	0
ASV135	0	0	0	83	75	75	73	0	26	0	0	0	51	0	0	66	0	0	0	0	0	0	79	0	0	0	0	0	44	0	0	0	0	29	0	0
ASV136	0	0	0	0	0	27	0	0	32	0	24	19	4	0	20	36	68	0	21	45	23	21	0	26	23	14	15	41	16	31	66	28	0	0	0	0
ASV137	0	0	0	0	37	0	0	0	21	0	17	11	0	0	35	36	12	0	15	14	34	6	0	13	9	43	22	27	10	18	14	18	40	0	0	148
ASV138	0	22	0	0	0	51	0	57	0	0	0	25	0	0	0	61	51	0	0	86	45	0	31	109	0	0	0	0	0	0	0	0	0	0	0	61
ASV139	66	21	17	37	19	23	11	14	9	19	22	19	13	15	13	5	24	17	14	10	17	16	29	10	26	21	10	26	31	8	0	13	0	0	0	0
ASV140	0	0	0	0	96	0	0	0	26	0	24	15	0	0	15	14	31	63	19	54	15	15	0	24	0	18	18	30	29	15	58	15	0	0	0	0
ASV141	0	17	49	0	0	52	32	13	0	48	0	26	24	0	0	0	59	25	38	0	30	64	0	40	0	20	20	35	0	0	0	0	0	0	0	0
ASV142	0	14	0	8	108	55	0	50	0	32	0	0	0	0	0	42	74	0	93	37	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV143	22	14	4	34	0	60	52	11	13	18	37	20	38	0	0	0	17	17	23	0	16	0	39	21	30	26	19	30	29	0	0	0	0	0	0	0
ASV144	0	0	0	0	0	8	48	0	45	19	0	0	0	0	0	0	0	0	0	0	43	19	31	0	0	83	47	139	0	107	0	0	0	0	0	0
